tissue	sample	frag_path	workdir
heart_kanemaru_2023_healthy samp3   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9508629_HCAHeart9508821.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp4   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845431_HCAHeart9917173.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp5   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845432_HCAHeart9917174.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp6   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845433_HCAHeart9917175.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp7   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845434_HCAHeart9917176.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp8   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845435_HCAHeart9917177.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp9   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845436_HCAHeart9917178.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp10   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeart9845436_HCAHeart9917178.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp11   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773165_HCAHeartST10781062.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp12   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773166_HCAHeartST10781063.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp13   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773167_HCAHeartST10781064.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp14   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773168_HCAHeartST10781065.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp15   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773169_HCAHeartST10781446.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp16   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773170_HCAHeartST10781447.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp17   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST10773171_HCAHeartST10781448.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp18   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11064574_HCAHeartST11023239.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp19   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11064575_HCAHeartST11023240.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp20   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11064576_HCAHeartST11023241.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp21   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11064577_HCAHeartST11023242.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp22   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350184_HCAHeartST11121842.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp23   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350186_HCAHeartST11121844.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp24   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350187_HCAHeartST11121845.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp25   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350192_HCAHeartST11445769.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp26   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350193_HCAHeartST11445770.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp27   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350194_HCAHeartST11445771.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp28   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350195_HCAHeartST11445772.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp29   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350196_HCAHeartST11445773.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp30   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350197_HCAHeartST11445774.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp31   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST11350198_HCAHeartST11445775.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp32   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146201_HCAHeartST13129134.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp33   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146202_HCAHeartST13129135.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
